player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
105490,Ole Miss,Bill Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,29.0,2.0,349.0,12.0,,,,,
105497,Ole Miss,Cody Ridgeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,59.0,65.0,0.0,2759.0,42.4,,,,,,1.0,22.0,0.0,22.0,22.0
105531,Houston,Mark Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,5.0,0.0,66.0,13.2,,,,,
105545,Troy,DeWhitt Betterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,0.0,5.0,1.0,256.0,56.0,9.0,1286.0,5.0
105562,Troy,Jermaine Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4.0,2.0,75.0,18.8,76.0,61.0,2.0,341.0,4.5
105570,Troy,Robby Farmer,14.5,2.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105572,Troy,Jordan Lesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,0.0,15.0,3.8,,,,,
105575,Troy,Freeman White,10.0,2.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105576,Troy,Derrick Ansley,13.8,5.0,1.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105679,Rutgers,Ben Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,0.0,48.0,4.8
105709,North Texas,Jonas Buckles,7.0,1.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,23.0,23.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,
